ID,Manzana,Lote,Superficie,Estado,Cuota,Total,Descuento,Contado,Entrega ,
"001-RESIDENCIAL ALTO PARAISO
",,,,,,,,,,
2-4-4,4,4,362.34,Libre,460000,59800000,0.5,29900000,,2
2-4-5,4,5,362.34,Vendido,,0,0.5,0,,2
2-4-6,4,6,362.34,Vendido,,0,0.5,0,,2
2-4-7,4,7,,Libre,470000,61100000,0.5,30550000,,2
2-4-8,4,8,362.34,Libre,470000,61100000,0.5,30550000,,2
2-5-1,5,1,362.34,Libre,460000,59800000,0.5,29900000,,2
2-5-2,5,2,362.34,Libre,450000,58500000,0.5,29250000,,2
2-5-3,5,3,362.34,Libre,450000,58500000,0.5,29250000,,2
2-5-4,5,4,362.34,Libre,450000,58500000,0.5,29250000,,2
2-5-5,5,5,362.34,Cancelado,,0,0.5,0,,2
2-5-6,5,6,362.34,Libre,490000,63700000,0.5,31850000,,2
2-5-7,5,7,362.34,Libre,460000,59800000,0.5,29900000,,2
2-5-8,5,8,362.34,Libre,460000,59800000,0.5,29900000,,2
2-6-1,6,1,362.34,Libre,430000,55900000,0.5,27950000,,2
2-6-2,6,2,362.34,Libre,390000,50700000,0.5,25350000,,2
2-6-3,6,3,362.34,Libre,390000,50700000,0.5,25350000,,2
2-6-4,6,4,362.34,Vendido,,0,0.5,0,,2
2-6-5,6,5,362.34,Vendido,,0,0.5,0,,2
2-6-6,6,6,362.34,Cancelado,,0,0.5,0,,2
2-6-7,6,7,362.34,Libre,430000,55900000,0.5,27950000,,2
2-6-8,6,8,362.34,Libre,430000,55900000,0.5,27950000,,2
2-7-1,7,1,362.34,Libre,420000,54600000,0.5,27300000,,2
2-7-2,7,2,362.34,Libre,390000,50700000,0.5,25350000,,2
2-7-3,7,3,362.34,Libre,390000,50700000,0.5,25350000,,2
2-7-4,7,4,362.34,Libre,390000,50700000,0.5,25350000,,2
2-7-5,7,5,362.34,Vendido,,0,0.5,0,,2
2-7-6,7,6,362.34,Cancelado,,0,0.5,0,,2
2-7-7,7,7,362.34,Libre,420000,54600000,0.5,27300000,,2
2-7-8,7,8,362.34,Libre,420000,54600000,0.5,27300000,,2
2-8-1,8,1,362.34,Vendido,,0,0.5,0,,2
2-8-2,8,2,362.34,Libre,370000,48100000,0.5,24050000,,2
2-8-3,8,3,362.34,Libre,370000,48100000,0.5,24050000,,2
2-8-4,8,4,362.34,Libre,370000,48100000,0.5,24050000,,2
2-8-5,8,5,362.34,Libre,370000,48100000,0.5,24050000,,2
2-8-6,8,6,362.34,Libre,390000,50700000,0.5,25350000,,2
2-8-7,8,7,362.34,Vendido,,0,0.5,0,,2
2-8-8,8,8,362.34,Vendido,,0,0.5,0,,2
2-9-1,9,1,362.34,Cancelado,,0,0.5,0,,2
2-9-2,9,2,362.34,Libre,390000,50700000,0.5,25350000,,2
2-9-3,9,3,362.34,Libre,330000,42900000,0.5,21450000,,2
2-9-4,9,4,362.34,Libre,330000,42900000,0.5,21450000,,2
2-9-5,9,5,362.34,Vendido,,0,0.5,0,,2
2-9-6,9,6,362.34,Vendido,,0,0.5,0,,2
2-9-7,9,7,362.34,Libre,360000,46800000,0.5,23400000,,2
2-9-8,9,8,362.34,Cancelado,,0,0.5,0,,2
"003-RESIDENCIAL PARQUE DEL NORTE
",,,,,,,,,,
3-A-1,A,1,383.18,Libre,450000,58500000,0.5,29250000,,3
3-B-1,B,1,,Cancelado,,0,0.5,0,,3
3-C-1,C,1,,Vendido,,0,0.5,0,,3
3-D-1,D,1,,Plaza,,0,,,,
3-A-2,A,2,,Libre,450000,58500000,0.5,29250000,,3
3-B-2,B,2,,Cancelado,,0,0.5,0,,3
3-C-2,C,2,,Libre,750000,97500000,0.5,48750000,,3
3-D-2,D,2,,Libre,650000,84500000,0.5,42250000,,3
3-A-3,A,3,360,Libre,450000,58500000,0.5,29250000,,3
3-B-3,B,3,,Cancelado,,0,0.5,0,,3
3-C-3,C,3,,Vendido,,0,0.5,0,,3
